source,target,country,meaning,source_word
They sell fresh french fries at the food truck.,They sell fresh chips at the food truck.,British,"Potato pieces that are fried, typically cut into long strips",french fries
french fries,hot chips,Australia,"Potato pieces that are fried, typically cut into long strips",french fries
I love eating french fries with tomato sauce.,I love eating hot chips with tomato sauce.,Australia,"Potato pieces that are fried, typically cut into long strips",french fries
They served french fries with the meal.,They served hot chips with the meal.,Australia,"Potato pieces that are fried, typically cut into long strips",french fries
French fries are best when crispy.,Hot chips are best when crispy.,Australia,"Potato pieces that are fried, typically cut into long strips",french fries
You can buy french fries at the takeaway.,You can buy hot chips at the takeaway.,Australia,"Potato pieces that are fried, typically cut into long strips",french fries
cookies,biscuits,British,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
She baked some cookies for the party.,She baked some biscuits for the party.,British,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
I love eating cookies with a glass of milk.,I love eating biscuits with a glass of milk.,British,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
He gave me a box of cookies.,He gave me a box of biscuits.,British,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
These cookies are delicious.,These biscuits are delicious.,British,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
cookies,biscuits,Australia,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
She baked some cookies for the party.,She baked some biscuits for the party.,Australia,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
I love eating cookies with a cup of tea.,I love eating biscuits with a cup of tea.,Australia,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
He gave me a box of cookies.,He gave me a box of biscuits.,Australia,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
These cookies are amazing.,These biscuits are amazing.,Australia,"A small baked sweet treat, often containing chocolate chips or other fillings",cookies
truck,lorry,British,A large motor vehicle used for transporting goods,truck
I saw a truck on the highway.,I saw a lorry on the highway.,British,A large motor vehicle used for transporting goods,truck
The truck is parked outside.,The lorry is parked outside.,British,A large motor vehicle used for transporting goods,truck
He drove a truck to the warehouse.,He drove a lorry to the warehouse.,British,A large motor vehicle used for transporting goods,truck
The truck was loaded with furniture.,The lorry was loaded with furniture.,British,A large motor vehicle used for transporting goods,truck
bangs,fringe,British,A hairstyle where the front part of the hair is cut to hang over the forehead,bangs
She cut her bangs this morning.,She cut her fringe this morning.,British,A hairstyle where the front part of the hair is cut to hang over the forehead,bangs
I like your bangs.,I like your fringe.,British,A hairstyle where the front part of the hair is cut to hang over the forehead,bangs
He has long bangs.,He has long fringe.,British,A hairstyle where the front part of the hair is cut to hang over the forehead,bangs
Her bangs are a bit too long.,Her fringe is a bit too long.,British,A hairstyle where the front part of the hair is cut to hang over the forehead,bangs
candy,lollies,Australia,"A sweet treat, typically made with sugar or syrup",candy
I bought some candy from the store.,I bought some lollies from the store.,Australia,"A sweet treat, typically made with sugar or syrup",candy
They sell candy in the vending machine.,They sell lollies in the vending machine.,Australia,"A sweet treat, typically made with sugar or syrup",candy
I love eating candy after dinner.,I love eating lollies after dinner.,Australia,"A sweet treat, typically made with sugar or syrup",candy
He gave me some candy for my birthday.,He gave me some lollies for my birthday.,Australia,"A sweet treat, typically made with sugar or syrup",candy
pants,trousers,British,Clothing worn on the lower body,pants
I bought new pants for the meeting.,I bought new trousers for the meeting.,British,Clothing worn on the lower body,pants
These pants are very comfortable.,These trousers are very comfortable.,British,Clothing worn on the lower body,pants
He spilled coffee on his pants.,He spilled coffee on his trousers.,British,Clothing worn on the lower body,pants
Are those pants new?,Are those trousers new?,British,Clothing worn on the lower body,pants
pants,trackies,Australia,Casual clothing worn on the lower body,pants
I prefer wearing pants at home.,I prefer wearing trackies at home.,Australia,Casual clothing worn on the lower body,pants
She wore pants to the gym.,She wore trackies to the gym.,Australia,Casual clothing worn on the lower body,pants
Those pants look cozy.,Those trackies look cozy.,Australia,Casual clothing worn on the lower body,pants
He changed into pants after work.,He changed into trackies after work.,Australia,Casual clothing worn on the lower body,pants
vacation,holiday,British,A period of time for leisure and relaxation,vacation
I'm going on vacation next week.,I'm going on holiday next week.,British,A period of time for leisure and relaxation,vacation
Our vacation plans are all set.,Our holiday plans are all set.,British,A period of time for leisure and relaxation,vacation
They are enjoying their vacation.,They are enjoying their holiday.,British,A period of time for leisure and relaxation,vacation
We had a wonderful vacation in Spain.,We had a wonderful holiday in Spain.,British,A period of time for leisure and relaxation,vacation
vacation,holiday,Australia,A period of time for leisure and relaxation,vacation
I'm on vacation right now.,I'm on holiday right now.,Australia,A period of time for leisure and relaxation,vacation
They went on a family vacation.,They went on a family holiday.,Australia,A period of time for leisure and relaxation,vacation
Our vacation starts tomorrow.,Our holiday starts tomorrow.,Australia,A period of time for leisure and relaxation,vacation
How was your vacation?,How was your holiday?,Australia,A period of time for leisure and relaxation,vacation
flashlight,torch,British,A portable hand-held light source,flashlight
I need a flashlight for the camping trip.,I need a torch for the camping trip.,British,A portable hand-held light source,flashlight
The flashlight is out of batteries.,The torch is out of batteries.,British,A portable hand-held light source,flashlight
Use the flashlight to see in the dark.,Use the torch to see in the dark.,British,A portable hand-held light source,flashlight
He turned on his flashlight.,He turned on his torch.,British,A portable hand-held light source,flashlight
flashlight,torch,Australia,A portable hand-held light source,flashlight
Bring a flashlight for the hike.,Bring a torch for the hike.,Australia,A portable hand-held light source,flashlight
She uses a flashlight to read at night.,She uses a torch to read at night.,Australia,A portable hand-held light source,flashlight
I found the keys with a flashlight.,I found the keys with a torch.,Australia,A portable hand-held light source,flashlight
He always carries a flashlight.,He always carries a torch.,Australia,A portable hand-held light source,flashlight
sidewalk,pavement,British,The path for pedestrians beside a street,sidewalk
Stay on the sidewalk for safety.,Stay on the pavement for safety.,British,The path for pedestrians beside a street,sidewalk
The sidewalk is slippery.,The pavement is slippery.,British,The path for pedestrians beside a street,sidewalk
Kids are playing on the sidewalk.,Kids are playing on the pavement.,British,The path for pedestrians beside a street,sidewalk
Bikes are not allowed on the sidewalk.,Bikes are not allowed on the pavement.,British,The path for pedestrians beside a street,sidewalk
sidewalk,footpath,Australia,The path for pedestrians beside a street,sidewalk
Walk on the sidewalk for safety.,Walk on the footpath for safety.,Australia,The path for pedestrians beside a street,sidewalk
The sidewalk was crowded.,The footpath was crowded.,Australia,The path for pedestrians beside a street,sidewalk
Kids are riding bikes on the sidewalk.,Kids are riding bikes on the footpath.,Australia,The path for pedestrians beside a street,sidewalk
The sidewalk is being repaired.,The footpath is being repaired.,Australia,The path for pedestrians beside a street,sidewalk
candy,sweets,British,"A sweet treat, typically made with sugar or syrup",candy
I bought some candy for the kids.,I bought some sweets for the kids.,British,"A sweet treat, typically made with sugar or syrup",candy
She loves to eat candy at the movies.,She loves to eat sweets at the movies.,British,"A sweet treat, typically made with sugar or syrup",candy
Candy wrappers were scattered on the floor.,Sweets wrappers were scattered on the floor.,British,"A sweet treat, typically made with sugar or syrup",candy
He handed out candy to the children.,He handed out sweets to the children.,British,"A sweet treat, typically made with sugar or syrup",candy
swimsuit,bathers,Australia,A piece of clothing worn for swimming,swimsuit
She bought a new swimsuit for the beach.,She bought a new pair of bathers for the beach.,Australia,A piece of clothing worn for swimming,swimsuit
I need to pack my swimsuit for the pool.,I need to pack my bathers for the pool.,Australia,A piece of clothing worn for swimming,swimsuit
He wore his swimsuit to the beach.,He wore his bathers to the beach.,Australia,A piece of clothing worn for swimming,swimsuit
Her swimsuit was colorful and bright.,Her bathers were colorful and bright.,Australia,A piece of clothing worn for swimming,swimsuit
swimsuit,swimming costume,British,A piece of clothing worn for swimming,swimsuit
She bought a new swimsuit for the holiday.,She bought a new swimming costume for the holiday.,British,A piece of clothing worn for swimming,swimsuit
I packed my swimsuit for the trip.,I packed my swimming costume for the trip.,British,A piece of clothing worn for swimming,swimsuit
The swimsuit fit perfectly.,The swimming costume fit perfectly.,British,A piece of clothing worn for swimming,swimsuit
His swimsuit was old and faded.,His swimming costume was old and faded.,British,A piece of clothing worn for swimming,swimsuit
forest,woods,British,A large area of trees and underbrush,forest
We walked through the forest on a trail.,We walked through the woods on a trail.,British,A large area of trees and underbrush,forest
The forest was full of wildlife.,The woods were full of wildlife.,British,A large area of trees and underbrush,forest
He went camping in the forest.,He went camping in the woods.,British,A large area of trees and underbrush,forest
The forest was dense with trees.,The woods were dense with trees.,British,A large area of trees and underbrush,forest
bathroom,toilet,British,A room with facilities for personal hygiene,bathroom
I need to use the bathroom.,I need to use the toilet.,British,A room with facilities for personal hygiene,bathroom
The bathroom is down the hall.,The toilet is down the hall.,British,A room with facilities for personal hygiene,bathroom
She went to the bathroom to freshen up.,She went to the toilet to freshen up.,British,A room with facilities for personal hygiene,bathroom
There is a bathroom next to the kitchen.,There is a toilet next to the kitchen.,British,A room with facilities for personal hygiene,bathroom
apartment,flat,British,A set of rooms forming a self-contained unit,apartment
I live in a small apartment.,I live in a small flat.,British,A set of rooms forming a self-contained unit,apartment
The apartment has two bedrooms.,The flat has two bedrooms.,British,A set of rooms forming a self-contained unit,apartment
He rents an apartment in the city.,He rents a flat in the city.,British,A set of rooms forming a self-contained unit,apartment
They just bought a new apartment.,They just bought a new flat.,British,A set of rooms forming a self-contained unit,apartment
grocery store,supermarket,British,A place where food and other products are sold,grocery store
I need to go to the grocery store.,I need to go to the supermarket.,British,A place where food and other products are sold,grocery store
The grocery store is just down the road.,The supermarket is just down the road.,British,A place where food and other products are sold,grocery store
